campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
736523,2457,2023-06-24,33,6.323939614358441,2.4597182543180955
736523,2457,2023-06-25,32,1.1618757530024841,1.6115115388781063
736523,2457,2023-06-26,45,1.169426158381439,1.5947275574752728
736523,2457,2023-06-27,32,1.156083755467008,1.53497923913728
736523,2457,2023-06-28,47,1.2218589391194812,1.5811935011670826
736523,2457,2023-06-29,29,1.55120030028981,1.5614944249049905
736523,2457,2023-06-30,25,0.6747916,1.7092984070872173
736523,2457,2023-07-01,38,1.0777683801079276,1.608006673056843
736523,2457,2023-07-02,40,2.087162061807979,1.382902771145979
736523,2457,2023-07-03,32,1.2478253345538919,1.4383064940133723
736523,2457,2023-07-04,28,1.296922765816089,1.3281939561183056
736523,2457,2023-07-05,40,1.0016636185963428,1.3187481593691266
736523,2457,2023-07-06,43,0.8942994176319532,1.2495928795223858
736523,2457,2023-07-07,47,0.9171692466000516,1.2178954636351136
736523,2457,2023-07-08,49,0.7419054791831579,1.3141524864666936
736523,2457,2023-07-09,39,1.0575771180977696,1.1514880351541854
736523,2457,2023-07-10,43,0.7714735440583859,1.1068794681412526
736523,2685,2023-06-09,1,16.028444,1.6183082404612341
736523,2685,2023-06-18,1,0.01643,1.716064081746093
736523,2685,2023-06-27,1,0.470058,1.4660174732203155
736523,2685,2023-06-30,1,0.038749,1.2841335481840233
736523,2685,2023-07-01,1,1.647266,1.292553663711761
736523,2685,2023-07-07,1,0.140439,0.9804862446931831
736523,2816,2023-06-09,1,0.081272,1.653691518334771
736523,3028,2023-06-20,1,8.711619,2.1952924060472108
736523,3028,2023-07-09,1,2.241072148863683,1.3532758857865996
736523,3174,2023-06-08,5,0.1740685999999999,1.710857453212343
736523,3174,2023-06-09,6,1.3208828333333331,1.7351223582178121
736523,3174,2023-06-10,4,2.0996790848753037,1.7930151439646442
736523,3174,2023-06-11,5,7.106792913221356,1.774829538001119
736523,3174,2023-06-12,4,0.2970465,1.6859099916278535
736523,3174,2023-06-13,3,0.143595,1.6928531224849297
736523,3174,2023-06-14,5,0.6953479999999999,1.7382382432956953
736523,3174,2023-06-15,11,1.880032,1.807978717829875
736523,3174,2023-06-16,8,1.63288375,1.7532954149887856
736523,3174,2023-06-17,7,0.4975857142857142,1.7026242249685901
736523,3174,2023-06-18,8,0.672245875,1.6401414798827108
736523,3174,2023-06-19,11,0.8401011522727272,1.7540863539956868
736523,3174,2023-06-20,6,0.7693053333333333,1.625209170371714
736523,3174,2023-06-21,5,1.0672062,1.7158513407971128
736523,3174,2023-06-22,8,1.724341125,1.6097625603136123
736523,3174,2023-06-23,10,0.8847549,1.7250187366486072
736523,3174,2023-06-24,4,8.15375375,2.2512839527210557
736523,3174,2023-06-25,7,1.223108432349018,1.3793834100795077
736523,3174,2023-06-26,13,1.927116222586172,1.4280084926332008
736523,3174,2023-06-27,5,0.6887579999999999,1.2987917778580285
736523,3174,2023-06-28,5,1.4613726000000002,1.3540721344118114
736523,3174,2023-06-29,7,1.132726142857143,1.2917587203283187
736523,3174,2023-06-30,4,0.6329589333021719,1.254352965831175
736523,3174,2023-07-01,3,0.3141159999999999,1.3993540923120902
736523,3174,2023-07-02,5,2.082176551707346,1.2153924503266362
736523,3174,2023-07-03,5,0.6735712704808942,1.2452096361041571
736523,3174,2023-07-04,16,0.8916277888124999,1.1428514519397779
736523,3174,2023-07-05,12,0.4573449313175095,1.188829257409214
736523,3174,2023-07-06,15,1.0291995907474374,1.116120908385187
